date,price
2020-01-18,3.9
2020-01-09,2.89
2020-01-10,4.99
2020-01-14,5.58
2020-01-16,3.29
2020-01-20,2.65
2020-01-21,0
2020-01-23,3.9
2020-01-24,3.34
2020-02-04,4.46
2020-02-14,3.9
2020-02-18,4.24
2020-02-21,4.57
2020-02-26,3.4
2020-02-28,4.24
2020-03-03,3.9
2020-03-05,3.85
2020-03-06,0
2020-03-07,7.79
2020-03-12,2.67
2020-03-13,4.57
2020-03-25,7.46
2020-03-28,6.05
2020-04-18,17.56
2020-04-23,8.45
2020-04-27,12.18
2020-05-01,9.56
2020-05-08,9.56
2020-05-10,8.88
2020-05-25,6.04
2020-05-27,4.39
2020-06-03,4.06
2020-06-09,13.72
2020-06-11,0
2020-06-14,8.78
2020-06-18,4.5
2020-06-24,9
2020-07-02,2.2
2020-07-09,9.11
2020-07-11,2.2
2020-07-14,8.89
2020-07-17,2.96
2020-07-19,13.06
2020-07-23,5.71
2020-07-30,11.86
2020-08-09,4.5
2020-08-11,0
2020-08-15,8.22
2020-08-18,0
2020-08-20,9.24
2020-08-25,5.13
2020-08-28,4.46
2020-09-01,3.52
2020-09-04,4.57
2020-09-08,4.01
2020-09-12,7.46
2020-09-18,4.5
2020-09-23,9.22
2020-09-27,8.34
2020-09-28,4.06
2020-09-29,4.06
2020-10-06,0.84
2020-10-07,7.13
2020-10-08,8.34
2020-10-14,8.12
2020-10-17,4.83
2020-10-24,4.39
2020-10-26,12.62
2020-10-28,8.89
2020-10-30,0
2020-11-11,0
2020-11-12,4.94
2020-11-13,3.95
2020-11-14,7.57
2020-11-17,5.93
2020-11-19,7.02
2020-11-21,3.07
2020-11-24,9
2020-11-29,5.38
2020-12-03,8.89
2020-12-08,2.63
2020-12-12,4.94
2020-12-15,9.43
2020-12-16,3.95
2020-12-18,0
2020-12-30,7.35
2019-10-01,4.56
2019-10-02,3.89
2019-10-04,4.56
2019-10-08,4.56
2019-10-15,0
2019-10-16,2.79
2019-10-18,4.56
2019-10-25,4.56
2019-11-12,2.33
2019-11-13,9.01
2019-11-15,4.56
2019-11-16,8.56
2019-11-19,3.89
2019-11-22,0
2019-11-25,3.4
2019-11-26,4.45
2019-12-06,1.1
2019-12-10,9.01
2019-12-13,7.78
2019-12-16,3.89
2019-12-17,1.1
2019-12-19,7.11
2019-12-23,4.34
2019-12-24,2.66
2019-12-29,3.5
